contig	species	dN	dS	dNdS
c049663	Mauretenra	0.1114	1.0439	0.1067
c049981	Mauretenra	0.4485	6.4704	0.0693
c050120	Mauretenra	0.5817	3.2948	0.1765
c050773	Mauretenra	0.3878	2.5237	0.1537
c051399	Mauretenra	0.1397	1.2493	0.1118
c052622	Mauretenra	0.1320	59.7414	0.0022
c052811	Mauretenra	0.1830	7.4382	0.0246
c053291	Mauretenra	0.4079	1.0909	0.3739
isotig01446	Mauretenra	0.1736	0.8852	0.1961
c000007	Mcavernosa	0.1794	2.1461	0.0836
c000017	Mcavernosa	0.1758	2.0158	0.0872
c000027	Mcavernosa	0.1178	1.2512	0.0942
c000034m	Mcavernosa	0.2959	2.0636	0.1434
c000038	Mcavernosa	0.2311	1.8947	0.1220
c000043p	Mcavernosa	0.1525	1.8598	0.0820
c000047	Mcavernosa	0.1790	1.3143	0.1362
c000058	Mcavernosa	0.0222	1.1578	0.0192
c000061p	Mcavernosa	0.1013	1.4253	0.0711
c000076p	Mcavernosa	0.1162	1.5643	0.0743
c000090	Mcavernosa	0.2135	1.5147	0.1410
c000091	Mcavernosa	0.0447	0.2507	0.1783
c000093m	Mcavernosa	0.0997	1.6793	0.0594
c000100m	Mcavernosa	0.2633	1.8919	0.1392
c000105m	Mcavernosa	0.1430	1.8893	0.0757
c000106p	Mcavernosa	0.1005	1.5600	0.0644
c000109	Mcavernosa	0.3810	67.6197	0.0056
c000120p	Mcavernosa	0.1651	2.2519	0.0733
c000122m	Mcavernosa	0.1537	1.2291	0.1251
c000128	Mcavernosa	0.1717	1.4506	0.1184
c000136p	Mcavernosa	0.1442	1.2863	0.1121
c000149m	Mcavernosa	0.0951	1.3428	0.0708
c000156	Mcavernosa	0.1591	1.3990	0.1137
c000164	Mcavernosa	0.1078	1.2926	0.0834
c000171	Mcavernosa	0.2312	3.1276	0.0739
c000177	Mcavernosa	0.2044	1.8452	0.1108
c000181	Mcavernosa	0.2362	1.4690	0.1608
c000192	Mcavernosa	0.1319	1.3105	0.1007
c000197	Mcavernosa	0.2687	2.9976	0.0896
c000202	Mcavernosa	0.1343	2.3203	0.0579
c000203	Mcavernosa	0.2985	3.4097	0.0875
c000205	Mcavernosa	0.0414	1.5768	0.0263
c000210	Mcavernosa	0.2603	3.1386	0.0829
c000234m	Mcavernosa	0.2115	2.0423	0.1035
c000238p	Mcavernosa	0.1669	1.8329	0.0911
c000242m	Mcavernosa	0.1113	1.6656	0.0668
c000244p	Mcavernosa	0.1323	1.5769	0.0839
c000245p	Mcavernosa	0.1265	1.3405	0.0944
c000247p	Mcavernosa	0.4991	1.8790	0.2656
c000248	Mcavernosa	0.1199	1.3221	0.0907
c000252	Mcavernosa	0.0577	1.3682	0.0422
c000255	Mcavernosa	0.1752	1.9577	0.0895
c000256p	Mcavernosa	0.1424	1.8169	0.0784
c000260m	Mcavernosa	0.0872	1.8795	0.0464
c000267	Mcavernosa	0.0610	1.5868	0.0384
c000279	Mcavernosa	0.1207	1.5539	0.0776
c000289	Mcavernosa	0.2353	3.7276	0.0631
c000290	Mcavernosa	0.0609	1.2547	0.0486
c000297	Mcavernosa	0.0952	1.5217	0.0626
c000310	Mcavernosa	0.0858	1.5630	0.0549
c000313	Mcavernosa	0.0824	1.2362	0.0667
c000323p	Mcavernosa	0.0628	1.2734	0.0493
c000329	Mcavernosa	0.0176	1.5005	0.0117
c000336	Mcavernosa	0.1258	1.4984	0.0840
c000345	Mcavernosa	0.0668	1.4946	0.0447
c000349	Mcavernosa	0.1351	64.6014	0.0021
c000350	Mcavernosa	0.2059	1.9035	0.1082
c000357	Mcavernosa	0.0581	1.1648	0.0499
c000371	Mcavernosa	0.0543	1.9364	0.0281
c000375p	Mcavernosa	0.0630	1.6904	0.0373
c000376m	Mcavernosa	0.1416	2.1420	0.0661
c000378	Mcavernosa	0.0433	1.1270	0.0384
c000385m	Mcavernosa	0.1032	1.3143	0.0786
c000391	Mcavernosa	0.2380	1.8396	0.1294
c000396m	Mcavernosa	0.1992	2.2383	0.0890
c000404p	Mcavernosa	0.0978	1.3277	0.0736
c000410	Mcavernosa	0.1488	1.4702	0.1012
c000413m	Mcavernosa	0.0854	1.2180	0.0701
c000421	Mcavernosa	0.3895	3.5732	0.1090
c000427	Mcavernosa	0.1783	1.2263	0.1454
c000428	Mcavernosa	0.2261	1.6906	0.1338
c000434	Mcavernosa	0.1143	1.2504	0.0914
c000437m	Mcavernosa	0.0282	0.9714	0.0290
c000443	Mcavernosa	0.2854	1.7953	0.1590
c000451m	Mcavernosa	0.1698	1.7455	0.0973
c000460p	Mcavernosa	0.2103	1.7892	0.1175
c000466	Mcavernosa	0.0964	1.1819	0.0816
c000482	Mcavernosa	0.0787	1.4330	0.0549
c000486	Mcavernosa	0.2873	1.2773	0.2249
c000493m	Mcavernosa	0.0697	1.5036	0.0464
c000496	Mcavernosa	0.0527	1.2063	0.0437
c000502m	Mcavernosa	0.1570	1.5670	0.1002
c000504	Mcavernosa	0.0858	1.7134	0.0501
c000509m	Mcavernosa	0.1432	1.9154	0.0748
c000509p	Mcavernosa	0.0614	1.2350	0.0497
c000524	Mcavernosa	0.1125	2.0057	0.0561
c000527	Mcavernosa	0.2493	1.9492	0.1279
c000538m	Mcavernosa	0.1340	1.3591	0.0986
c000543	Mcavernosa	0.3097	2.1527	0.1439
c000544m	Mcavernosa	0.1343	2.1498	0.0625
c000546m	Mcavernosa	0.1501	1.6043	0.0936
c000550m	Mcavernosa	0.0935	0.9847	0.0949
c000557	Mcavernosa	0.1056	1.8594	0.0568
c000558	Mcavernosa	0.0796	2.3347	0.0341
c000559	Mcavernosa	0.1910	2.5345	0.0753
c000562m	Mcavernosa	0.1369	1.1312	0.1210
c000565m	Mcavernosa	0.3799	3.0075	0.1263
c000568	Mcavernosa	0.2081	1.3630	0.1527
c000570p	Mcavernosa	0.0450	1.5803	0.0285
c000578p	Mcavernosa	0.1525	1.8825	0.0810
c000583	Mcavernosa	0.2297	1.7444	0.1317
c000596	Mcavernosa	0.1682	1.2776	0.1316
c000598	Mcavernosa	0.1590	1.6871	0.0942
c000608m	Mcavernosa	0.2199	2.1126	0.1041
c000614	Mcavernosa	0.2035	1.7207	0.1183
c000618	Mcavernosa	0.0539	2.6499	0.0203
c000619	Mcavernosa	0.1359	1.5048	0.0903
c000631	Mcavernosa	0.0556	1.5714	0.0354
c000640	Mcavernosa	0.3194	2.6947	0.1185
c000645	Mcavernosa	0.2671	1.6510	0.1618
c000648	Mcavernosa	0.1751	1.5496	0.1130
c000655	Mcavernosa	0.0587	1.1061	0.0531
c000657m	Mcavernosa	0.0719	1.3567	0.0530
c000658	Mcavernosa	0.0884	1.4234	0.0621
c000659p	Mcavernosa	0.0919	1.3042	0.0705
c000664	Mcavernosa	0.2354	3.1961	0.0737
c000674	Mcavernosa	0.4143	2.8931	0.1432
c000675p	Mcavernosa	0.0777	1.4181	0.0548
c000678	Mcavernosa	0.0973	1.4903	0.0653
c000684p	Mcavernosa	0.1554	1.6365	0.0949
c000689p	Mcavernosa	0.1414	1.4022	0.1009
c000690	Mcavernosa	0.0514	1.0659	0.0482
c000695	Mcavernosa	0.4461	2.3412	0.1905
c000698	Mcavernosa	0.0468	1.4441	0.0324
c000713	Mcavernosa	0.0767	1.5953	0.0481
c000718	Mcavernosa	0.1832	1.5418	0.1188
c000732	Mcavernosa	0.0311	1.5233	0.0204
c000736	Mcavernosa	0.0870	1.5636	0.0557
c000748	Mcavernosa	0.1861	1.7745	0.1049
c000751m	Mcavernosa	0.1422	1.5841	0.0898
c000754	Mcavernosa	0.0777	1.2639	0.0614
c000756m	Mcavernosa	0.0399	1.1731	0.0340
c000760m	Mcavernosa	0.0630	2.0825	0.0302
c000760p	Mcavernosa	0.1176	1.0272	0.1145
c000761	Mcavernosa	0.1781	2.0935	0.0851
c000763	Mcavernosa	0.1808	1.6370	0.1104
c000764p	Mcavernosa	0.0625	1.4632	0.0427
c000767p	Mcavernosa	0.0919	1.2505	0.0735
c000771	Mcavernosa	0.1197	1.0086	0.1187
c000775	Mcavernosa	0.1078	1.6211	0.0665
c000781p	Mcavernosa	0.0779	1.8205	0.0428
c000789p	Mcavernosa	0.0774	2.1416	0.0361
c000796	Mcavernosa	0.1975	1.6375	0.1206
c000797	Mcavernosa	0.1344	1.4713	0.0914
c000803	Mcavernosa	0.0577	1.4126	0.0408
c000804	Mcavernosa	0.0831	1.2940	0.0642
c000816m	Mcavernosa	0.6054	76.3155	0.0079
c000817	Mcavernosa	0.1865	1.7064	0.1093
c000822p	Mcavernosa	0.1649	1.6587	0.0994
c000823	Mcavernosa	0.1556	1.2443	0.1250
c000826	Mcavernosa	0.1269	1.2466	0.1018
c000827	Mcavernosa	0.0335	1.4148	0.0236
c000831	Mcavernosa	0.0920	2.1166	0.0435
c000835	Mcavernosa	0.1239	1.3442	0.0922
c000839m	Mcavernosa	0.2765	2.0645	0.1339
c000839p	Mcavernosa	0.1083	1.3957	0.0776
c000842	Mcavernosa	0.1389	7.5302	0.0184
c000847	Mcavernosa	0.1207	1.5091	0.0800
c000855m	Mcavernosa	0.1661	3.9121	0.0424
c000856m	Mcavernosa	0.1233	1.2646	0.0975
c000856p	Mcavernosa	0.1020	2.3040	0.0443
c000857p	Mcavernosa	0.1522	1.2911	0.1179
c000860m	Mcavernosa	0.0827	2.3591	0.0350
c000862	Mcavernosa	0.0433	1.0306	0.0420
c000865	Mcavernosa	0.1072	1.6226	0.0661
c000866	Mcavernosa	0.2467	2.8680	0.0860
c000868	Mcavernosa	0.0972	1.1268	0.0862
c000873	Mcavernosa	0.1138	1.6559	0.0687
c000875	Mcavernosa	0.0952	2.1836	0.0436
c000882	Mcavernosa	0.0713	1.3137	0.0543
c000894	Mcavernosa	0.0706	2.0667	0.0342
c000896	Mcavernosa	0.2771	1.1679	0.2373
c000897m	Mcavernosa	0.1384	1.7044	0.0812
c000905	Mcavernosa	0.2287	1.5101	0.1514
c000908m	Mcavernosa	0.0204	1.3224	0.0154
c000912m	Mcavernosa	0.0788	1.5779	0.0499
c000914	Mcavernosa	0.2245	1.4965	0.1500
c000915	Mcavernosa	0.0857	1.5318	0.0560
c000916p	Mcavernosa	0.1615	2.0886	0.0773
c000918	Mcavernosa	0.1801	2.0720	0.0869
c000925m	Mcavernosa	0.0599	1.1400	0.0526
c000929p	Mcavernosa	0.0510	1.4843	0.0344
c000939	Mcavernosa	0.2712	2.4520	0.1106
c000953	Mcavernosa	0.0686	0.8731	0.0786
c000954	Mcavernosa	0.2039	1.3138	0.1552
c000968	Mcavernosa	0.1437	1.5923	0.0903
c000972p	Mcavernosa	0.0827	1.2314	0.0671
c000975m	Mcavernosa	0.1836	4.8715	0.0377
c000975p	Mcavernosa	0.6884	4.7938	0.1436
c000978	Mcavernosa	0.1164	1.0972	0.1061
c000979	Mcavernosa	0.0790	1.3161	0.0600
c000988	Mcavernosa	0.3012	5.2636	0.0572
c001002	Mcavernosa	0.1681	1.5182	0.1107
c001010	Mcavernosa	0.1054	1.2612	0.0836
c001012m	Mcavernosa	0.2259	2.2307	0.1013
c001016	Mcavernosa	0.1752	58.1516	0.0030
c001021m	Mcavernosa	0.0986	1.4286	0.0690
c001024	Mcavernosa	0.2096	2.4134	0.0868
c001027m	Mcavernosa	0.0615	1.4962	0.0411
c001046	Mcavernosa	0.2768	1.9346	0.1431
c001049p	Mcavernosa	0.3187	2.8366	0.1123
c001063	Mcavernosa	0.3226	1.8715	0.1724
c001064m	Mcavernosa	0.1918	1.2208	0.1571
c001064p	Mcavernosa	0.1639	1.8308	0.0895
c001066m	Mcavernosa	0.1785	1.0767	0.1658
c001073p	Mcavernosa	0.0835	1.3388	0.0624
c001074	Mcavernosa	0.1753	1.5416	0.1137
c001087p	Mcavernosa	0.2606	1.5199	0.1714
c001089	Mcavernosa	0.6152	88.7407	0.0069
c001092	Mcavernosa	0.1565	1.4772	0.1060
c001094p	Mcavernosa	0.0244	1.3359	0.0183
c001095	Mcavernosa	0.0612	1.4182	0.0432
c001096	Mcavernosa	0.1568	3.1822	0.0493
c001099	Mcavernosa	0.1684	1.7204	0.0979
c001101p	Mcavernosa	0.0325	2.4247	0.0134
c001109	Mcavernosa	0.2296	1.4664	0.1566
c001112	Mcavernosa	0.1131	1.4632	0.0773
c001119	Mcavernosa	0.2246	2.0915	0.1074
c001122m	Mcavernosa	0.1676	1.8716	0.0895
c001122p	Mcavernosa	0.0780	0.2963	0.2632
c001131	Mcavernosa	0.1530	1.6978	0.0901
c001132m	Mcavernosa	0.2649	1.7329	0.1529
c001132p	Mcavernosa	0.1615	1.5599	0.1035
c001133	Mcavernosa	0.1407	1.3815	0.1018
c001136	Mcavernosa	0.0864	1.4930	0.0579
c001142m	Mcavernosa	0.0622	0.9539	0.0652
c001142p	Mcavernosa	0.1519	1.7521	0.0867
c001143m	Mcavernosa	0.1151	1.6666	0.0691
c001143p	Mcavernosa	0.1516	1.7340	0.0874
c001144	Mcavernosa	0.2662	64.1895	0.0041
c001145	Mcavernosa	0.0701	0.3504	0.2001
c001148m	Mcavernosa	0.0539	1.5202	0.0354
c001148p	Mcavernosa	0.2218	1.6269	0.1363
c001161m	Mcavernosa	0.2679	2.2161	0.1209
c001162	Mcavernosa	0.1439	1.7355	0.0829
c001163p	Mcavernosa	0.1461	1.4603	0.1000
c001166	Mcavernosa	0.1210	1.6647	0.0727
c001168	Mcavernosa	0.3950	1.8504	0.2135
c001178m	Mcavernosa	0.1732	1.9730	0.0878
c001179m	Mcavernosa	0.0008	0.7589	0.0010
c001180m	Mcavernosa	0.1062	1.4777	0.0719
c001182	Mcavernosa	0.0859	1.3052	0.0658
c001186	Mcavernosa	0.1432	1.3673	0.1047
c001187m	Mcavernosa	0.2394	1.3651	0.1754
c001187p	Mcavernosa	0.1223	71.9121	0.0017
c001190	Mcavernosa	0.0582	1.7838	0.0326
c001191	Mcavernosa	0.1881	2.5595	0.0735
c001193	Mcavernosa	0.1034	1.2700	0.0814
c001196	Mcavernosa	0.0331	1.3411	0.0247
c001199	Mcavernosa	0.1880	1.3846	0.1358
c001200p	Mcavernosa	0.2038	1.4824	0.1375
c001203p	Mcavernosa	0.0498	1.3990	0.0356
c001205p	Mcavernosa	0.0679	2.0073	0.0338
c001206m	Mcavernosa	0.0949	2.1322	0.0445
c001211	Mcavernosa	0.1766	1.3907	0.1270
c001220p	Mcavernosa	0.2195	2.2178	0.0990
c001221	Mcavernosa	0.2973	5.3997	0.0551
c001225	Mcavernosa	0.1224	1.6134	0.0758
c001226p	Mcavernosa	0.1965	2.0451	0.0961
c001230	Mcavernosa	0.0371	1.2636	0.0294
c001232m	Mcavernosa	0.0737	1.4269	0.0516
c001232p	Mcavernosa	0.1687	1.3618	0.1239
c001233	Mcavernosa	0.2502	3.2970	0.0759
c001249	Mcavernosa	0.4391	1.9968	0.2199
c001253	Mcavernosa	0.0578	1.4590	0.0396
c001255	Mcavernosa	0.3205	2.0566	0.1558
c001264	Mcavernosa	0.0627	1.5920	0.0394
c001275m	Mcavernosa	0.2644	2.3484	0.1126
c001276	Mcavernosa	0.0429	2.3727	0.0181
c001292	Mcavernosa	0.3806	2.6084	0.1459
c001299	Mcavernosa	0.1136	1.5675	0.0725
c001302m	Mcavernosa	0.1883	1.7160	0.1097
c001307m	Mcavernosa	0.1324	1.7054	0.0776
c001307p	Mcavernosa	0.0249	1.4694	0.0169
c001309m	Mcavernosa	0.0815	1.3566	0.0601
c001311p	Mcavernosa	0.2326	2.8757	0.0809
c001313	Mcavernosa	0.1347	1.5209	0.0885
c001316	Mcavernosa	0.1786	1.9900	0.0898
c001318	Mcavernosa	0.1190	1.5350	0.0775
c001320	Mcavernosa	0.0478	1.7083	0.0280
c001323	Mcavernosa	0.1097	1.1162	0.0983
c001325p	Mcavernosa	0.3195	1.6590	0.1926
c001329p	Mcavernosa	0.1429	1.3806	0.1035
c001330m	Mcavernosa	0.1041	1.5746	0.0661
c001336	Mcavernosa	0.2834	2.5399	0.1116
c001337	Mcavernosa	0.0692	1.7303	0.0400
c001343	Mcavernosa	0.1926	1.4624	0.1317
c001352	Mcavernosa	0.1430	2.9291	0.0488
c001355p	Mcavernosa	0.1116	1.9107	0.0584
c001356	Mcavernosa	0.1457	1.6281	0.0895
c001357m	Mcavernosa	0.3132	2.3902	0.1310
c001357p	Mcavernosa	0.0440	1.3982	0.0315
c001358m	Mcavernosa	0.1421	1.3415	0.1060
c001360	Mcavernosa	0.0278	1.4017	0.0198
c001366p	Mcavernosa	0.0134	1.0243	0.0131
c001373m	Mcavernosa	0.2002	1.1449	0.1749
c001389	Mcavernosa	0.5468	3.5374	0.1546
c001390	Mcavernosa	0.2593	1.8784	0.1380
c001393p	Mcavernosa	0.0952	1.2799	0.0744
c001394	Mcavernosa	0.2357	1.4394	0.1638
c001396p	Mcavernosa	0.0543	2.0220	0.0269
c001398	Mcavernosa	0.1665	1.8626	0.0894
c001400	Mcavernosa	0.1247	1.5180	0.0821
c001404	Mcavernosa	0.4234	66.8020	0.0063
c001408	Mcavernosa	0.1467	1.5229	0.0963
c001411	Mcavernosa	0.1227	1.3124	0.0935
c001413	Mcavernosa	0.1742	1.3965	0.1247
c001421m	Mcavernosa	0.2170	62.6926	0.0035
c001422m	Mcavernosa	0.2415	1.9509	0.1238
c001423	Mcavernosa	0.1581	1.8430	0.0858
c001424m	Mcavernosa	0.0986	1.5974	0.0617
c001427	Mcavernosa	0.2305	2.0891	0.1103
c001428	Mcavernosa	0.0854	1.3520	0.0632
c001440	Mcavernosa	0.0936	1.4795	0.0632
c001441p	Mcavernosa	0.1344	1.4190	0.0947
c001450	Mcavernosa	0.3204	3.5581	0.0901
c001452	Mcavernosa	0.4886	2.2432	0.2178
c001460	Mcavernosa	0.1813	1.5797	0.1148
c001461	Mcavernosa	0.2145	1.5948	0.1345
c001464p	Mcavernosa	0.0366	1.2108	0.0303
c001465	Mcavernosa	0.1121	1.6071	0.0697
c001466	Mcavernosa	0.2076	2.0066	0.1035
c001467	Mcavernosa	0.1051	1.4373	0.0731
c001483	Mcavernosa	0.0726	1.5168	0.0479
c001488	Mcavernosa	0.1026	1.9195	0.0534
c001489	Mcavernosa	0.0651	1.2565	0.0518
c001490p	Mcavernosa	0.0133	2.6478	0.0050
c001491	Mcavernosa	0.3258	2.0256	0.1609
c001492	Mcavernosa	0.1570	1.8326	0.0856
c001494	Mcavernosa	0.1389	1.4168	0.0980
c001495	Mcavernosa	0.4048	1.8120	0.2234
c001496	Mcavernosa	0.1029	1.4917	0.0690
c001500	Mcavernosa	0.2519	1.5319	0.1645
c001503	Mcavernosa	0.0735	1.8349	0.0401
c001504p	Mcavernosa	0.1449	1.4543	0.0996
c001507	Mcavernosa	0.2362	1.9241	0.1228
c001508	Mcavernosa	0.1815	1.2795	0.1419
c001512m	Mcavernosa	0.1225	1.5075	0.0813
c001512p	Mcavernosa	0.1325	1.1241	0.1179
c001514p	Mcavernosa	0.0868	1.9543	0.0444
c001515m	Mcavernosa	0.0421	0.9371	0.0449
c001516	Mcavernosa	0.0763	1.5439	0.0494
c001523	Mcavernosa	0.2279	2.0976	0.1087
c001526	Mcavernosa	0.0803	1.2324	0.0652
c001529	Mcavernosa	0.2935	1.7037	0.1723
c001535	Mcavernosa	0.5178	3.8325	0.1351
c001537m	Mcavernosa	0.2600	2.3242	0.1119
c001548p	Mcavernosa	0.0832	1.1724	0.0710
c001555p	Mcavernosa	0.1499	2.1474	0.0698
c001556m	Mcavernosa	0.2201	1.8009	0.1222
c001557	Mcavernosa	0.0765	1.2800	0.0598
c001563p	Mcavernosa	0.1188	2.9446	0.0403
c001566	Mcavernosa	0.2809	2.2118	0.1270
c001569p	Mcavernosa	0.2771	2.7246	0.1017
c001572	Mcavernosa	0.1059	1.3063	0.0811
c001575	Mcavernosa	0.0635	1.4121	0.0450
c001580	Mcavernosa	0.7526	72.0627	0.0104
c001595	Mcavernosa	0.1086	1.4883	0.0730
c001596	Mcavernosa	0.2766	1.7838	0.1551
c001603p	Mcavernosa	0.1986	3.3647	0.0590
c001611	Mcavernosa	0.1259	1.3361	0.0943
c001621	Mcavernosa	0.1733	1.6849	0.1029
c001626p	Mcavernosa	0.0677	1.2003	0.0564
c001632	Mcavernosa	0.0705	1.4343	0.0492
c001635	Mcavernosa	0.0820	1.2854	0.0638
c001641	Mcavernosa	0.1526	1.7659	0.0864
c001643	Mcavernosa	0.2213	1.5187	0.1457
c001645	Mcavernosa	0.4101	2.0998	0.1953
c001648p	Mcavernosa	0.2256	1.7805	0.1267
c001649	Mcavernosa	0.5087	2.2137	0.2298
c001652p	Mcavernosa	0.1690	1.3402	0.1261
c001661	Mcavernosa	0.1771	1.9991	0.0886
c001662	Mcavernosa	0.4611	2.3113	0.1995
c001668	Mcavernosa	0.0958	2.1997	0.0435
c001673	Mcavernosa	0.2025	1.9797	0.1023
c001677	Mcavernosa	0.3080	2.4534	0.1255
c001678m	Mcavernosa	0.1037	1.6345	0.0635
c001679	Mcavernosa	0.2212	1.5627	0.1415
c001680	Mcavernosa	0.3019	1.8643	0.1619
c001682	Mcavernosa	0.1211	1.3340	0.0908
c001686	Mcavernosa	0.0909	1.2514	0.0726
c001688p	Mcavernosa	0.1980	1.6689	0.1186
c001691p	Mcavernosa	0.0261	2.5776	0.0101
c001697p	Mcavernosa	0.1224	2.1557	0.0568
c001698m	Mcavernosa	0.1387	1.2831	0.1081
c001698p	Mcavernosa	0.0451	1.0741	0.0420
c001699	Mcavernosa	0.1000	0.9788	0.1022
c001701	Mcavernosa	0.0342	1.6423	0.0208
c001702m	Mcavernosa	0.0831	1.6974	0.0489
c001702p	Mcavernosa	0.0572	2.0105	0.0285
c001708	Mcavernosa	0.1752	1.3689	0.1280
c001712m	Mcavernosa	0.6552	69.3276	0.0095
c001713	Mcavernosa	0.1388	1.9680	0.0705
c001714m	Mcavernosa	0.1438	1.4525	0.0990
c001716	Mcavernosa	0.3299	3.0069	0.1097
c001717	Mcavernosa	0.2539	1.6410	0.1547
c001718	Mcavernosa	0.0764	1.4878	0.0514
c001723	Mcavernosa	0.0799	1.9532	0.0409
c001724	Mcavernosa	0.1048	1.3273	0.0789
c001726m	Mcavernosa	0.0862	1.3608	0.0634
c001732	Mcavernosa	0.1605	1.5354	0.1046
c001737m	Mcavernosa	0.1444	1.4492	0.0996
c001737p	Mcavernosa	0.2377	2.0936	0.1135
c001738	Mcavernosa	0.2347	1.5557	0.1508
c001744m	Mcavernosa	0.0741	1.8814	0.0394
c001749	Mcavernosa	0.2832	1.7252	0.1642
c001752	Mcavernosa	0.2074	2.1488	0.0965
c001755	Mcavernosa	0.0527	1.4395	0.0366
c001759	Mcavernosa	0.1542	1.2835	0.1201
c001762m	Mcavernosa	0.1227	1.5770	0.0778
c001762p	Mcavernosa	0.1482	1.3813	0.1073
c001764p	Mcavernosa	0.0874	4.1905	0.0209
c001772	Mcavernosa	0.2657	1.7925	0.1482
c001775	Mcavernosa	0.1688	1.2771	0.1322
c001777	Mcavernosa	0.0564	1.2205	0.0462
c001780	Mcavernosa	0.0890	1.1712	0.0760
c001788p	Mcavernosa	0.0883	1.5593	0.0566
c001795m	Mcavernosa	0.2588	1.5998	0.1617
c001796	Mcavernosa	0.2336	1.5034	0.1554
c001800p	Mcavernosa	0.2245	1.9689	0.1140
c001805p	Mcavernosa	0.1396	1.0265	0.1360
c001815m	Mcavernosa	0.0982	1.7171	0.0572
c001817	Mcavernosa	0.0886	2.4507	0.0362
c001821	Mcavernosa	0.3484	3.8190	0.0912
c001824m	Mcavernosa	0.1211	2.3846	0.0508
c001826	Mcavernosa	0.1494	1.6843	0.0887
c001830p	Mcavernosa	0.0949	1.3533	0.0701
c001831	Mcavernosa	0.2367	1.6131	0.1467
c001832	Mcavernosa	0.0591	1.1162	0.0529
c001836	Mcavernosa	0.0019	1.8863	0.0010
c001840	Mcavernosa	0.0565	1.3148	0.0430
c001843	Mcavernosa	0.1005	1.6204	0.0620
c001848	Mcavernosa	0.1326	1.5390	0.0861
c001850	Mcavernosa	0.1790	1.3325	0.1343
c001851	Mcavernosa	0.2967	3.1364	0.0946
c001852m	Mcavernosa	0.0861	1.0532	0.0818
c001853	Mcavernosa	0.2346	2.0937	0.1120
c001855p	Mcavernosa	0.1566	2.2798	0.0687
c001864m	Mcavernosa	0.0231	0.9842	0.0235
c001864p	Mcavernosa	0.2101	1.4927	0.1408
c001865	Mcavernosa	0.0951	1.5642	0.0608
c001872	Mcavernosa	0.0893	1.5847	0.0564
c001873m	Mcavernosa	0.1128	0.9948	0.1134
c001886	Mcavernosa	0.1818	2.4278	0.0749
c001887	Mcavernosa	0.2510	2.0941	0.1199
c001892	Mcavernosa	0.0933	1.2468	0.0749
c001896	Mcavernosa	0.2090	1.5681	0.1333
c001905	Mcavernosa	0.1472	1.2931	0.1139
c001906	Mcavernosa	0.2034	2.4376	0.0835
c001908m	Mcavernosa	0.1947	8.2051	0.0237
c001912	Mcavernosa	0.0437	2.6256	0.0166
c001920m	Mcavernosa	0.1412	1.7159	0.0823
c001923p	Mcavernosa	0.1447	1.6374	0.0884
c001927m	Mcavernosa	0.0914	1.2662	0.0722
c001929	Mcavernosa	0.0315	0.9835	0.0320
c001931	Mcavernosa	0.1116	1.4463	0.0772
c001938p	Mcavernosa	0.0950	1.7532	0.0542
c001942	Mcavernosa	0.1390	1.5930	0.0873
c001943	Mcavernosa	0.2610	1.6842	0.1550
c001946m	Mcavernosa	0.0823	1.6856	0.0488
c001950	Mcavernosa	0.2104	1.4954	0.1407
c001951p	Mcavernosa	0.0468	1.3173	0.0355
c001959	Mcavernosa	0.2410	2.2181	0.1087
c001963	Mcavernosa	0.0329	1.2629	0.0260
c001965	Mcavernosa	0.1744	1.5772	0.1106
c001973	Mcavernosa	0.0865	1.3880	0.0623
c001991	Mcavernosa	0.0620	0.8132	0.0763
c001993	Mcavernosa	0.0568	1.4595	0.0389
c001999	Mcavernosa	0.1345	2.1627	0.0622
c002002m	Mcavernosa	0.1043	2.3010	0.0453
c002002p	Mcavernosa	0.1892	1.8803	0.1006
c002006	Mcavernosa	0.1381	1.9237	0.0718
c002016	Mcavernosa	0.0498	1.4108	0.0353
c002018	Mcavernosa	0.1000	1.7826	0.0561
c002019p	Mcavernosa	0.1761	2.1941	0.0803
c002023	Mcavernosa	0.1418	1.3279	0.1068
c002024	Mcavernosa	0.1093	2.2583	0.0484
c002038p	Mcavernosa	0.1255	1.4448	0.0869
c002046	Mcavernosa	0.0611	1.3693	0.0446
c002062	Mcavernosa	0.1060	1.2327	0.0860
c002064	Mcavernosa	0.1883	1.6395	0.1149
c002066m	Mcavernosa	0.1168	2.4698	0.0473
c002066p	Mcavernosa	0.2081	1.7427	0.1194
c002075	Mcavernosa	0.0602	1.1126	0.0541
c002076	Mcavernosa	0.1646	1.8171	0.0906
c002077	Mcavernosa	0.0620	1.7244	0.0359
c002083	Mcavernosa	0.4305	27.9815	0.0154
c002084p	Mcavernosa	0.0688	1.2533	0.0549
c002090	Mcavernosa	0.0952	1.3955	0.0682
c002103p	Mcavernosa	0.0144	1.4928	0.0097
c002106	Mcavernosa	0.1746	1.4123	0.1236
c002107p	Mcavernosa	0.1222	1.4483	0.0844
c002109p	Mcavernosa	0.2355	2.4005	0.0981
c002112	Mcavernosa	0.0950	1.4527	0.0654
c002114	Mcavernosa	0.1949	1.9496	0.1000
c002124p	Mcavernosa	0.1119	1.8807	0.0595
c002130	Mcavernosa	0.0628	1.1440	0.0549
c002135	Mcavernosa	0.1274	1.1436	0.1114
c002136	Mcavernosa	0.0813	1.2842	0.0633
c002140	Mcavernosa	0.0751	1.8281	0.0411
c002145	Mcavernosa	0.1354	1.7407	0.0778
