isogroup4204	Lipid transport and metabolism
isogroup4332	Signal transduction mechanisms
isogroup3133	Posttranslational modification, protein turnover, chaperones
isogroup948	Extracellular structures
isogroup21395	Transcription
isogroup31034	Signal transduction mechanisms
isogroup28041	Posttranslational modification, protein turnover, chaperones
isogroup6693	Signal transduction mechanisms
isogroup6693	Inorganic ion transport and metabolism
isogroup326	Intracellular trafficking, secretion, and vesicular transport
isogroup35501	Inorganic ion transport and metabolism
isogroup2519	Posttranslational modification, protein turnover, chaperones
isogroup18642	Translation, ribosomal structure and biogenesis
isogroup30874	Amino acid transport and metabolism
isogroup17986	Posttranslational modification, protein turnover, chaperones
isogroup10504	Cell cycle control, cell division, chromosome partitioning
isogroup10504	Inorganic ion transport and metabolism
isogroup3801	Carbohydrate transport and metabolism
isogroup25779	Cell wall/membrane/envelope biogenesis
isogroup8442	Transcription
isogroup3299.1	Energy production and conversion
isogroup14776	Amino acid transport and metabolism
isogroup9069	Carbohydrate transport and metabolism
isogroup506.1	Replication, recombination and repair
isogroup6743	Posttranslational modification, protein turnover, chaperones
isogroup1941	Posttranslational modification, protein turnover, chaperones
isogroup5261	RNA processing and modification 
isogroup13581	Lipid transport and metabolism
isogroup15203	Transcription
isogroup22152	Cytoskeleton
isogroup3093	Lipid transport and metabolism
isogroup3093	Secondary metabolites biosynthesis, transport and catabolism
isogroup7951.2	Replication, recombination and repair
isogroup10599	Posttranslational modification, protein turnover, chaperones
isogroup27362	Transcription
isogroup18802	Lipid transport and metabolism
isogroup229	Signal transduction mechanisms
isogroup1802	Chromatin structure and dynamics
isogroup1802	Cell cycle control, cell division, chromosome partitioning
isogroup10305	Intracellular trafficking, secretion, and vesicular transport
isogroup13655	Replication, recombination and repair
isogroup20837	Secondary metabolites biosynthesis, transport and catabolism
isogroup13279	Carbohydrate transport and metabolism
isogroup5811	Posttranslational modification, protein turnover, chaperones
isogroup20483	Signal transduction mechanisms
isogroup5523	Posttranslational modification, protein turnover, chaperones
isogroup10958	Signal transduction mechanisms
isogroup44876	Cell cycle control, cell division, chromosome partitioning
isogroup6123	Cell cycle control, cell division, chromosome partitioning
isogroup5403	Intracellular trafficking, secretion, and vesicular transport
isogroup18132	Posttranslational modification, protein turnover, chaperones
isogroup211	Signal transduction mechanisms
isogroup41739	Translation, ribosomal structure and biogenesis
isogroup1626	Chromatin structure and dynamics
isogroup1626	Signal transduction mechanisms
isogroup494	Replication, recombination and repair
isogroup494	Chromatin structure and dynamics
isogroup494	Cell cycle control, cell division, chromosome partitioning
isogroup34218	Energy production and conversion
isogroup16848	Cytoskeleton
isogroup40806	Transcription
isogroup19247	Translation, ribosomal structure and biogenesis
isogroup32500	Signal transduction mechanisms
isogroup2516	RNA processing and modification 
isogroup23827	Transcription
isogroup1095	Signal transduction mechanisms
isogroup1095	Inorganic ion transport and metabolism
isogroup1280	Lipid transport and metabolism
isogroup33999	Posttranslational modification, protein turnover, chaperones
isogroup20804	Translation, ribosomal structure and biogenesis
isogroup20804	RNA processing and modification 
isogroup4141	Posttranslational modification, protein turnover, chaperones
isogroup1172	Cytoskeleton
isogroup35214	Signal transduction mechanisms
isogroup25654	Extracellular structures
isogroup28360	Signal transduction mechanisms
isogroup40350	Signal transduction mechanisms
isogroup40350	Inorganic ion transport and metabolism
isogroup3855	Signal transduction mechanisms
isogroup3855	Lipid transport and metabolism
isogroup269	Signal transduction mechanisms
isogroup2353	Signal transduction mechanisms
isogroup2471	Signal transduction mechanisms
isogroup667	Amino acid transport and metabolism
isogroup21180	Intracellular trafficking, secretion, and vesicular transport
isogroup6996	Transcription
isogroup37103	Posttranslational modification, protein turnover, chaperones
isogroup27628	Transcription
isogroup42874	Intracellular trafficking, secretion, and vesicular transport
isogroup4370	Transcription
isogroup1429	Defense mechanisms
isogroup1429	Signal transduction mechanisms
isogroup14232	Signal transduction mechanisms
isogroup7030	Signal transduction mechanisms
isogroup17939	Energy production and conversion
isogroup19618	Transcription
isogroup20437	Posttranslational modification, protein turnover, chaperones
isogroup20192	Cytoskeleton
isogroup5354	Replication, recombination and repair
isogroup5354	Cell cycle control, cell division, chromosome partitioning
isogroup2718	Translation, ribosomal structure and biogenesis
isogroup21187	Secondary metabolites biosynthesis, transport and catabolism
isogroup14022.1	Translation, ribosomal structure and biogenesis
isogroup14022.1	RNA processing and modification 
isogroup30241	Posttranslational modification, protein turnover, chaperones
isogroup22268	Signal transduction mechanisms
isogroup7002	Amino acid transport and metabolism
isogroup35123	Carbohydrate transport and metabolism
isogroup6420	Energy production and conversion
isogroup1879	Signal transduction mechanisms
isogroup1879	Inorganic ion transport and metabolism
isogroup22713	Nucleotide transport and metabolism
isogroup445	Replication, recombination and repair
isogroup7391	Transcription
isogroup7391	Chromatin structure and dynamics
isogroup12260	Posttranslational modification, protein turnover, chaperones
isogroup33770	Carbohydrate transport and metabolism
isogroup33770	Amino acid transport and metabolism
isogroup10028	Transcription
isogroup4992	RNA processing and modification 
isogroup40612	Translation, ribosomal structure and biogenesis
isogroup13033	RNA processing and modification 
isogroup5110	Energy production and conversion
isogroup3202	Cytoskeleton
isogroup21369	Posttranslational modification, protein turnover, chaperones
isogroup21369	Lipid transport and metabolism
isogroup2827	Signal transduction mechanisms
isogroup7522	Signal transduction mechanisms
isogroup7522	Inorganic ion transport and metabolism
isogroup5437	Transcription
isogroup2951	Replication, recombination and repair
isogroup32137	Cytoskeleton
isogroup18688	Posttranslational modification, protein turnover, chaperones
isogroup2706	Cell cycle control, cell division, chromosome partitioning
isogroup1211	Intracellular trafficking, secretion, and vesicular transport
isogroup40012	Secondary metabolites biosynthesis, transport and catabolism
isogroup21431	Replication, recombination and repair
isogroup17389	Cytoskeleton
isogroup43338	Transcription
isogroup23884	Cell cycle control, cell division, chromosome partitioning
isogroup23884	Cytoskeleton
isogroup3406	Posttranslational modification, protein turnover, chaperones
isogroup7487	Secondary metabolites biosynthesis, transport and catabolism
isogroup33311	Cytoskeleton
isogroup12316	Amino acid transport and metabolism
isogroup43742	Posttranslational modification, protein turnover, chaperones
isogroup15380	Cell wall/membrane/envelope biogenesis
isogroup3824	Signal transduction mechanisms
isogroup3824	Cell motility
isogroup3824	Cytoskeleton
isogroup15172	Chromatin structure and dynamics
isogroup22441	Signal transduction mechanisms
isogroup22000	Intracellular trafficking, secretion, and vesicular transport
isogroup20452	Lipid transport and metabolism
isogroup14347	Defense mechanisms
isogroup14347	Signal transduction mechanisms
isogroup4884	Nuclear structure
isogroup14439	Translation, ribosomal structure and biogenesis
isogroup22984	Nuclear structure
isogroup22984	Intracellular trafficking, secretion, and vesicular transport
isogroup7677	Posttranslational modification, protein turnover, chaperones
isogroup20594	Signal transduction mechanisms
isogroup20594	Cytoskeleton
isogroup12762	Posttranslational modification, protein turnover, chaperones
isogroup12948	Nuclear structure
isogroup5931	Cell wall/membrane/envelope biogenesis
isogroup5513	Chromatin structure and dynamics
isogroup13400	Cell wall/membrane/envelope biogenesis
isogroup14514	Carbohydrate transport and metabolism
isogroup18452	Lipid transport and metabolism
isogroup1930	Lipid transport and metabolism
isogroup9058	Signal transduction mechanisms
isogroup9058	Inorganic ion transport and metabolism
isogroup126	Signal transduction mechanisms
isogroup4483	Chromatin structure and dynamics
isogroup27469	Extracellular structures
isogroup27193	Intracellular trafficking, secretion, and vesicular transport
isogroup12218	Signal transduction mechanisms
isogroup12218	Extracellular structures
isogroup7399	Signal transduction mechanisms
isogroup40561	Transcription
isogroup13522	Defense mechanisms
isogroup1752	Signal transduction mechanisms
isogroup13383	RNA processing and modification 
isogroup31528	Transcription
isogroup26379	Signal transduction mechanisms
isogroup33583	Signal transduction mechanisms
isogroup9783	Translation, ribosomal structure and biogenesis
isogroup218	Intracellular trafficking, secretion, and vesicular transport
isogroup218	Posttranslational modification, protein turnover, chaperones
isogroup9824	Posttranslational modification, protein turnover, chaperones
isogroup1248.1	Extracellular structures
isogroup26833	Signal transduction mechanisms
isogroup918	Extracellular structures
isogroup19653	Inorganic ion transport and metabolism
isogroup25985	Posttranslational modification, protein turnover, chaperones
isogroup11953	Carbohydrate transport and metabolism
isogroup8394	Signal transduction mechanisms
isogroup8394	Cytoskeleton
isogroup5986	Posttranslational modification, protein turnover, chaperones
isogroup34386	Chromatin structure and dynamics
isogroup15061	Signal transduction mechanisms
isogroup15061	Amino acid transport and metabolism
isogroup15850	Signal transduction mechanisms
isogroup15850	Inorganic ion transport and metabolism
isogroup33811	Posttranslational modification, protein turnover, chaperones
isogroup29706	Translation, ribosomal structure and biogenesis
isogroup5720	Posttranslational modification, protein turnover, chaperones
isogroup5649	Signal transduction mechanisms
isogroup530	Cell cycle control, cell division, chromosome partitioning
isogroup16699	Inorganic ion transport and metabolism
isogroup31708	Signal transduction mechanisms
isogroup5723	Nucleotide transport and metabolism
isogroup16715	Cell cycle control, cell division, chromosome partitioning
isogroup11384	Signal transduction mechanisms
isogroup18199	Carbohydrate transport and metabolism
isogroup18199	Amino acid transport and metabolism
isogroup22592	Transcription
isogroup739	Extracellular structures
isogroup8813	Secondary metabolites biosynthesis, transport and catabolism
isogroup12554	Nucleotide transport and metabolism
isogroup9493	Signal transduction mechanisms
isogroup9493	Intracellular trafficking, secretion, and vesicular transport
isogroup3882	Transcription
isogroup3882	Signal transduction mechanisms
isogroup3882	Posttranslational modification, protein turnover, chaperones
isogroup960	RNA processing and modification 
isogroup15936	Signal transduction mechanisms
isogroup8857	Transcription
isogroup1150	Signal transduction mechanisms
isogroup34590	Amino acid transport and metabolism
isogroup15255	Posttranslational modification, protein turnover, chaperones
isogroup26067	Inorganic ion transport and metabolism
isogroup1118	Transcription
isogroup21125	Transcription
isogroup771	Chromatin structure and dynamics
isogroup33381	Cytoskeleton
isogroup10494	Translation, ribosomal structure and biogenesis
isogroup13371	Nucleotide transport and metabolism
isogroup11118	Transcription
isogroup313	Posttranslational modification, protein turnover, chaperones
isogroup45146	Replication, recombination and repair
isogroup7763	Signal transduction mechanisms
isogroup11010	Energy production and conversion
isogroup5683	Posttranslational modification, protein turnover, chaperones
isogroup7630	Intracellular trafficking, secretion, and vesicular transport
isogroup38817	Lipid transport and metabolism
isogroup3479	Signal transduction mechanisms
isogroup7862	RNA processing and modification 
isogroup43965	Translation, ribosomal structure and biogenesis
isogroup7535	Carbohydrate transport and metabolism
isogroup5335	Posttranslational modification, protein turnover, chaperones
isogroup26911	Translation, ribosomal structure and biogenesis
isogroup16791	Signal transduction mechanisms
isogroup8095	RNA processing and modification 
isogroup13912	Secondary metabolites biosynthesis, transport and catabolism
isogroup2216	Cytoskeleton
isogroup10723	Signal transduction mechanisms
isogroup10723	Inorganic ion transport and metabolism
isogroup3394	Signal transduction mechanisms
isogroup3394	Posttranslational modification, protein turnover, chaperones
isogroup3394	Carbohydrate transport and metabolism
isogroup1727	RNA processing and modification 
isogroup1524	RNA processing and modification 
isogroup7422	Signal transduction mechanisms
isogroup7422	Posttranslational modification, protein turnover, chaperones
isogroup5563	Energy production and conversion
isogroup7035	Nucleotide transport and metabolism
isogroup10881	Replication, recombination and repair
isogroup18619.1	Cytoskeleton
isogroup8470	Cell cycle control, cell division, chromosome partitioning
isogroup8470	Cytoskeleton
isogroup8470	Intracellular trafficking, secretion, and vesicular transport
isogroup5211	Inorganic ion transport and metabolism
isogroup4452	Translation, ribosomal structure and biogenesis
isogroup13614	Signal transduction mechanisms
isogroup29470	Transcription
isogroup9368	Transcription
isogroup3639	Signal transduction mechanisms
isogroup2219	Energy production and conversion
isogroup19065	Intracellular trafficking, secretion, and vesicular transport
isogroup19065	Energy production and conversion
isogroup16011	Lipid transport and metabolism
isogroup22317	Transcription
isogroup16956	Replication, recombination and repair
isogroup5498	Posttranslational modification, protein turnover, chaperones
isogroup5543	Cell cycle control, cell division, chromosome partitioning
isogroup1680	RNA processing and modification 
isogroup24085	Cell cycle control, cell division, chromosome partitioning
isogroup24085	Posttranslational modification, protein turnover, chaperones
isogroup31174	Energy production and conversion
isogroup35737	Posttranslational modification, protein turnover, chaperones
isogroup5553	Amino acid transport and metabolism
isogroup3075	Transcription
isogroup6600	Translation, ribosomal structure and biogenesis
isogroup5590	Carbohydrate transport and metabolism
isogroup10078	Extracellular structures
isogroup18823	Posttranslational modification, protein turnover, chaperones
isogroup16099	Extracellular structures
isogroup2065	Signal transduction mechanisms
isogroup5777	Replication, recombination and repair
isogroup38273	Cytoskeleton
isogroup5366	Cytoskeleton
isogroup9595	Lipid transport and metabolism
isogroup11626	Translation, ribosomal structure and biogenesis
isogroup11626	RNA processing and modification 
isogroup23577	Chromatin structure and dynamics
isogroup24119	Translation, ribosomal structure and biogenesis
isogroup22758	Cytoskeleton
isogroup12047	Posttranslational modification, protein turnover, chaperones
isogroup9667	Energy production and conversion
isogroup9667	Carbohydrate transport and metabolism
isogroup11708	Signal transduction mechanisms
isogroup996	Cytoskeleton
isogroup2689	Cell cycle control, cell division, chromosome partitioning
isogroup1457	Intracellular trafficking, secretion, and vesicular transport
isogroup17249	Defense mechanisms
isogroup12998	Cell cycle control, cell division, chromosome partitioning
isogroup12998	Inorganic ion transport and metabolism
isogroup17109	Chromatin structure and dynamics
isogroup25840	Signal transduction mechanisms
isogroup8880	Cell wall/membrane/envelope biogenesis
isogroup8880	Extracellular structures
isogroup13139	Posttranslational modification, protein turnover, chaperones
isogroup5803	Posttranslational modification, protein turnover, chaperones
isogroup17102	Signal transduction mechanisms
isogroup6973	Signal transduction mechanisms
isogroup6973	Inorganic ion transport and metabolism
isogroup33517	Signal transduction mechanisms
isogroup7645	RNA processing and modification 
isogroup20994	Transcription
isogroup20994	Replication, recombination and repair
isogroup15047	Signal transduction mechanisms
isogroup21043	Translation, ribosomal structure and biogenesis
isogroup3254	Extracellular structures
isogroup2025	Signal transduction mechanisms
isogroup15501	Transcription
isogroup11633	Signal transduction mechanisms
isogroup40659	Cell cycle control, cell division, chromosome partitioning
isogroup11352	Coenzyme transport and metabolism
isogroup8305	Signal transduction mechanisms
isogroup36603	Cell cycle control, cell division, chromosome partitioning
isogroup1900	Transcription
isogroup5792	Posttranslational modification, protein turnover, chaperones
isogroup27093	Energy production and conversion
isogroup33946	Signal transduction mechanisms
isogroup26992	RNA processing and modification 
isogroup15156	RNA processing and modification 
isogroup14569	Intracellular trafficking, secretion, and vesicular transport
isogroup12568	Signal transduction mechanisms
isogroup8976	Transcription
isogroup2345	Signal transduction mechanisms
isogroup34721	Replication, recombination and repair
isogroup6390	Carbohydrate transport and metabolism
isogroup2643	Cytoskeleton
isogroup5004.1	Lipid transport and metabolism
isogroup6968	Carbohydrate transport and metabolism
isogroup3688	Signal transduction mechanisms
isogroup1045	Extracellular structures
isogroup6649	Transcription
isogroup26217	Posttranslational modification, protein turnover, chaperones
isogroup9999	RNA processing and modification 
isogroup24937	Signal transduction mechanisms
isogroup24937	Posttranslational modification, protein turnover, chaperones
isogroup335	Intracellular trafficking, secretion, and vesicular transport
isogroup24176	Posttranslational modification, protein turnover, chaperones
isogroup10585	Signal transduction mechanisms
isogroup8131	Secondary metabolites biosynthesis, transport and catabolism
isogroup45600	Carbohydrate transport and metabolism
isogroup7815	Defense mechanisms
isogroup24930	Signal transduction mechanisms
isogroup34145	Cytoskeleton
isogroup640	Signal transduction mechanisms
isogroup13386	Signal transduction mechanisms
isogroup3788	Carbohydrate transport and metabolism
isogroup13487	Posttranslational modification, protein turnover, chaperones
isogroup29869	Signal transduction mechanisms
isogroup29869	Cytoskeleton
isogroup11484	Signal transduction mechanisms
isogroup3165.1	Replication, recombination and repair
isogroup3165.1	Signal transduction mechanisms
isogroup17462	Amino acid transport and metabolism
isogroup32827	Replication, recombination and repair
isogroup32827	Cell cycle control, cell division, chromosome partitioning
isogroup14316	Signal transduction mechanisms
isogroup12639	Lipid transport and metabolism
isogroup29984	Nuclear structure
isogroup29984	Intracellular trafficking, secretion, and vesicular transport
isogroup4963	Posttranslational modification, protein turnover, chaperones
isogroup16016	Signal transduction mechanisms
isogroup16016	Posttranslational modification, protein turnover, chaperones
isogroup11049	Cell wall/membrane/envelope biogenesis
isogroup28732	Signal transduction mechanisms
isogroup28732	Cytoskeleton
isogroup12054	RNA processing and modification 
isogroup30416	Posttranslational modification, protein turnover, chaperones
isogroup2449	Translation, ribosomal structure and biogenesis
isogroup2449	RNA processing and modification 
isogroup19892	Signal transduction mechanisms
isogroup19892	Inorganic ion transport and metabolism
isogroup17429	Carbohydrate transport and metabolism
isogroup2405	Signal transduction mechanisms
isogroup11250	Posttranslational modification, protein turnover, chaperones
isogroup5200	Energy production and conversion
isogroup30184	Signal transduction mechanisms
isogroup14062	Transcription
isogroup35813	Signal transduction mechanisms
isogroup35813	Posttranslational modification, protein turnover, chaperones
isogroup4109	Amino acid transport and metabolism
isogroup20677	Extracellular structures
isogroup4672	Signal transduction mechanisms
isogroup27995	Intracellular trafficking, secretion, and vesicular transport
isogroup4438	Posttranslational modification, protein turnover, chaperones
isogroup3531	RNA processing and modification 
isogroup4842	Nucleotide transport and metabolism
isogroup7509	Transcription
isogroup140	Intracellular trafficking, secretion, and vesicular transport
isogroup5654	Posttranslational modification, protein turnover, chaperones
isogroup3681.1	Nucleotide transport and metabolism
isogroup81	Signal transduction mechanisms
isogroup81	Inorganic ion transport and metabolism
isogroup4836	Cytoskeleton
isogroup6817	Replication, recombination and repair
isogroup6817	Chromatin structure and dynamics
isogroup1195	Cytoskeleton
isogroup14161	Signal transduction mechanisms
isogroup39010	Lipid transport and metabolism
isogroup19765	Posttranslational modification, protein turnover, chaperones
isogroup17667	Extracellular structures
isogroup4435	Posttranslational modification, protein turnover, chaperones
isogroup14265	Posttranslational modification, protein turnover, chaperones
isogroup11722	Replication, recombination and repair
isogroup2079	Extracellular structures
isogroup4918	Carbohydrate transport and metabolism
isogroup4918	Amino acid transport and metabolism
isogroup23923	Cytoskeleton
isogroup18603	Signal transduction mechanisms
isogroup19377	Intracellular trafficking, secretion, and vesicular transport
isogroup26114	Cytoskeleton
isogroup4259	Signal transduction mechanisms
isogroup4890	Cytoskeleton
isogroup38639	Amino acid transport and metabolism
isogroup2294	Cytoskeleton
isogroup876	Signal transduction mechanisms
isogroup876	Intracellular trafficking, secretion, and vesicular transport
isogroup876	Posttranslational modification, protein turnover, chaperones
isogroup7107	Chromatin structure and dynamics
isogroup6872	Signal transduction mechanisms
isogroup6872	Amino acid transport and metabolism
isogroup5556	Signal transduction mechanisms
isogroup5556	Inorganic ion transport and metabolism
isogroup43233	Posttranslational modification, protein turnover, chaperones
isogroup18466	Signal transduction mechanisms
isogroup10713	Chromatin structure and dynamics
isogroup16267	Signal transduction mechanisms
isogroup17801	Replication, recombination and repair
isogroup5205	Lipid transport and metabolism
isogroup5205	Secondary metabolites biosynthesis, transport and catabolism
isogroup10155	Chromatin structure and dynamics
isogroup4260	Transcription
isogroup31089	Amino acid transport and metabolism
isogroup1278	Amino acid transport and metabolism
isogroup38685	Coenzyme transport and metabolism
isogroup15143	Cell wall/membrane/envelope biogenesis
isogroup15143	Extracellular structures
isogroup5500.1	Inorganic ion transport and metabolism
isogroup14497	Signal transduction mechanisms
isogroup14497	Extracellular structures
isogroup562	Signal transduction mechanisms
isogroup6399	Signal transduction mechanisms
isogroup5472	Extracellular structures
isogroup3513	Posttranslational modification, protein turnover, chaperones
isogroup44283	Translation, ribosomal structure and biogenesis
isogroup20131	RNA processing and modification 
isogroup19370	Energy production and conversion
isogroup37158	Signal transduction mechanisms
isogroup37158	Inorganic ion transport and metabolism
isogroup26277	Energy production and conversion
isogroup5865	Carbohydrate transport and metabolism
isogroup36946	Posttranslational modification, protein turnover, chaperones
isogroup1880	Translation, ribosomal structure and biogenesis
isogroup23491	Signal transduction mechanisms
isogroup9096	Signal transduction mechanisms
isogroup12411	Transcription
isogroup5181	Replication, recombination and repair
isogroup5181	Cell cycle control, cell division, chromosome partitioning
isogroup3895	Cell cycle control, cell division, chromosome partitioning
isogroup31844	Carbohydrate transport and metabolism
isogroup19323	Translation, ribosomal structure and biogenesis
isogroup11357	Cell cycle control, cell division, chromosome partitioning
isogroup10053	Signal transduction mechanisms
isogroup26666	Intracellular trafficking, secretion, and vesicular transport
isogroup36002	Signal transduction mechanisms
isogroup36002	Intracellular trafficking, secretion, and vesicular transport
isogroup4950	Posttranslational modification, protein turnover, chaperones
isogroup2114	Posttranslational modification, protein turnover, chaperones
isogroup1966	Replication, recombination and repair
isogroup38019	Chromatin structure and dynamics
isogroup2532	Signal transduction mechanisms
isogroup13909	Posttranslational modification, protein turnover, chaperones
isogroup16906	Posttranslational modification, protein turnover, chaperones
isogroup3495	Extracellular structures
isogroup10044	Inorganic ion transport and metabolism
isogroup12624	RNA processing and modification 
isogroup21926	Extracellular structures
isogroup6281	Amino acid transport and metabolism
isogroup6567	Signal transduction mechanisms
isogroup6567	Inorganic ion transport and metabolism
isogroup6016	Intracellular trafficking, secretion, and vesicular transport
isogroup7282	Signal transduction mechanisms
isogroup7282	Cytoskeleton
isogroup7282	Intracellular trafficking, secretion, and vesicular transport
isogroup1857	Posttranslational modification, protein turnover, chaperones
isogroup2499	Extracellular structures
isogroup26707	Posttranslational modification, protein turnover, chaperones
isogroup3946	Cytoskeleton
isogroup1579	Defense mechanisms
isogroup39920	Posttranslational modification, protein turnover, chaperones
isogroup27541	Cytoskeleton
isogroup36645	Replication, recombination and repair
isogroup16486	Posttranslational modification, protein turnover, chaperones
isogroup4030	Signal transduction mechanisms
isogroup22825	Signal transduction mechanisms
isogroup2159	RNA processing and modification 
isogroup35564	Intracellular trafficking, secretion, and vesicular transport
isogroup521	Cell wall/membrane/envelope biogenesis
isogroup9864	Signal transduction mechanisms
isogroup9864	Intracellular trafficking, secretion, and vesicular transport
isogroup1953	Cytoskeleton
isogroup11071	Intracellular trafficking, secretion, and vesicular transport
isogroup6432	Amino acid transport and metabolism
isogroup20724	Cytoskeleton
isogroup16211	Lipid transport and metabolism
isogroup38461	Signal transduction mechanisms
isogroup8701	Chromatin structure and dynamics
isogroup2894	Posttranslational modification, protein turnover, chaperones
isogroup26021	Carbohydrate transport and metabolism
isogroup7222	Replication, recombination and repair
isogroup838	Cell wall/membrane/envelope biogenesis
isogroup838	Posttranslational modification, protein turnover, chaperones
isogroup838	Carbohydrate transport and metabolism
isogroup18751	Lipid transport and metabolism
isogroup4518	Transcription
isogroup10509	Transcription
isogroup42892	Energy production and conversion
isogroup21260	Chromatin structure and dynamics
isogroup9420	Energy production and conversion
isogroup24372	Posttranslational modification, protein turnover, chaperones
isogroup26945	Transcription
isogroup43788	Posttranslational modification, protein turnover, chaperones
isogroup34099	Cell cycle control, cell division, chromosome partitioning
isogroup10474	Coenzyme transport and metabolism
isogroup18669	Amino acid transport and metabolism
isogroup12390	Transcription
isogroup13230	Posttranslational modification, protein turnover, chaperones
isogroup35059	Intracellular trafficking, secretion, and vesicular transport
isogroup5095	Transcription
isogroup15522	Energy production and conversion
isogroup9461	Cytoskeleton
isogroup18696	Signal transduction mechanisms
isogroup14703	Chromatin structure and dynamics
isogroup14703	Signal transduction mechanisms
isogroup26676	Posttranslational modification, protein turnover, chaperones
isogroup43563	Cell cycle control, cell division, chromosome partitioning
isogroup23256	Coenzyme transport and metabolism
isogroup2426	Signal transduction mechanisms
isogroup5825	Signal transduction mechanisms
isogroup17561	Extracellular structures
isogroup30985	Transcription
isogroup33671	Signal transduction mechanisms
isogroup12220	Energy production and conversion
isogroup2788	Carbohydrate transport and metabolism
isogroup18980	Signal transduction mechanisms
isogroup18980	Posttranslational modification, protein turnover, chaperones
isogroup10457	Chromatin structure and dynamics
isogroup2540	Nucleotide transport and metabolism
isogroup36932	Chromatin structure and dynamics
isogroup1108	Signal transduction mechanisms
isogroup2136	Posttranslational modification, protein turnover, chaperones
isogroup38605	Signal transduction mechanisms
isogroup4298	Energy production and conversion
isogroup4298	Coenzyme transport and metabolism
isogroup2958	Intracellular trafficking, secretion, and vesicular transport
isogroup40912	Cytoskeleton
isogroup21002	Transcription
isogroup25423	RNA processing and modification 
isogroup10274	Cytoskeleton
isogroup39220	Signal transduction mechanisms
isogroup14538	Signal transduction mechanisms
isogroup14538	Lipid transport and metabolism
isogroup27083	Translation, ribosomal structure and biogenesis
isogroup26249	Cell cycle control, cell division, chromosome partitioning
isogroup3526	Signal transduction mechanisms
isogroup11804	Transcription
isogroup21445	Lipid transport and metabolism
isogroup27220	Amino acid transport and metabolism
isogroup20070	Posttranslational modification, protein turnover, chaperones
isogroup2091	Amino acid transport and metabolism
isogroup12177	Signal transduction mechanisms
isogroup12177	Intracellular trafficking, secretion, and vesicular transport
isogroup12177	Posttranslational modification, protein turnover, chaperones
isogroup46249	Replication, recombination and repair
isogroup38796	Secondary metabolites biosynthesis, transport and catabolism
isogroup21317	Energy production and conversion
isogroup21317	Coenzyme transport and metabolism
isogroup11614	Signal transduction mechanisms
isogroup11614	Inorganic ion transport and metabolism
isogroup3283	Posttranslational modification, protein turnover, chaperones
isogroup3184	Signal transduction mechanisms
isogroup19199	Nucleotide transport and metabolism
isogroup26878	Transcription
isogroup1058	Signal transduction mechanisms
isogroup1058	Posttranslational modification, protein turnover, chaperones
isogroup1058	Lipid transport and metabolism
isogroup42345	Cell cycle control, cell division, chromosome partitioning
isogroup3679.1	Translation, ribosomal structure and biogenesis
isogroup24525	Transcription
isogroup8017	Chromatin structure and dynamics
isogroup9439	Transcription
isogroup7534	Posttranslational modification, protein turnover, chaperones
isogroup1722	RNA processing and modification 
isogroup30150	Amino acid transport and metabolism
isogroup8901	Intracellular trafficking, secretion, and vesicular transport
isogroup10963	Chromatin structure and dynamics
isogroup19784	Cytoskeleton
isogroup166	Signal transduction mechanisms
isogroup1085	Cytoskeleton
isogroup5160	Translation, ribosomal structure and biogenesis
isogroup15856	Posttranslational modification, protein turnover, chaperones
isogroup17455	Cell cycle control, cell division, chromosome partitioning
isogroup3012.1	Signal transduction mechanisms
isogroup3012.1	Inorganic ion transport and metabolism
isogroup38569	RNA processing and modification 
isogroup3535	Signal transduction mechanisms
isogroup3535	Cell wall/membrane/envelope biogenesis
isogroup3535	Posttranslational modification, protein turnover, chaperones
isogroup4089	Signal transduction mechanisms
isogroup1240	Intracellular trafficking, secretion, and vesicular transport
isogroup26656	Nucleotide transport and metabolism
isogroup6413	Amino acid transport and metabolism
isogroup43905	Signal transduction mechanisms
isogroup12025	Amino acid transport and metabolism
isogroup2685	Amino acid transport and metabolism
isogroup16130	Posttranslational modification, protein turnover, chaperones
isogroup12727	Intracellular trafficking, secretion, and vesicular transport
isogroup18815	Lipid transport and metabolism
isogroup6494	Posttranslational modification, protein turnover, chaperones
isogroup6233	Cytoskeleton
isogroup15879	Posttranslational modification, protein turnover, chaperones
isogroup31315	Signal transduction mechanisms
isogroup31315	Inorganic ion transport and metabolism
isogroup5302	Transcription
isogroup29884	Extracellular structures
isogroup6595	Translation, ribosomal structure and biogenesis
isogroup1698	Posttranslational modification, protein turnover, chaperones
isogroup30108	Cytoskeleton
isogroup139	Intracellular trafficking, secretion, and vesicular transport
isogroup17580	Signal transduction mechanisms
isogroup17580	Inorganic ion transport and metabolism
isogroup4485	Signal transduction mechanisms
isogroup3569	Energy production and conversion
isogroup5738	Extracellular structures
isogroup1822	Posttranslational modification, protein turnover, chaperones
isogroup7326	Signal transduction mechanisms
isogroup6759	Transcription
isogroup5627	Cell wall/membrane/envelope biogenesis
isogroup5627	Posttranslational modification, protein turnover, chaperones
isogroup5627	Lipid transport and metabolism
isogroup23236	RNA processing and modification 
isogroup17259	Posttranslational modification, protein turnover, chaperones
isogroup974	Posttranslational modification, protein turnover, chaperones
isogroup32437	Cytoskeleton
isogroup17532	Transcription
isogroup162	Signal transduction mechanisms
isogroup565	Lipid transport and metabolism
isogroup13962	Cytoskeleton
